msg_time,trial_num,type,sac_sttime_rel,sac_entime_rel,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,fix_sttime_rel,fix_entime_rel,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration,pid
986,1,choice,1173,1282,876.70001220703125,563.79998779296875,858.5999755859375,541.0999755859375,109,1283,1430,858.29998779296875,541.0999755859375,857.70001220703125,531.20001220703125,147,135502
986,1,choice,1431,1449,858.20001220703125,530.0999755859375,880,476.8999938964844,18,1450,2053,879.5,475.1000061035156,869.5999755859375,460,603,135502
1529,1,feedback,2054,2170,869.5,460.8999938964844,864.20001220703125,426,116,2171,3755,864.29998779296875,426.1000061035156,853.29998779296875,416.1000061035156,1584,135502
3512,1,regret,3756,3878,853.20001220703125,416.70001220703125,855.4000244140625,546.70001220703125,122,3879,4615,854.70001220703125,545.29998779296875,852.20001220703125,528.4000244140625,736,135502
4503,1,fixation,4616,4632,852.0999755859375,527.20001220703125,847.70001220703125,474.29998779296875,16,4633,4829,846.70001220703125,472.6000061035156,846.70001220703125,462.3999938964844,196,135502
4503,1,fixation,4830,4852,847.4000244140625,463.3999938964844,860.79998779296875,544.4000244140625,22,4853,5803,860.9000244140625,547.5,869.20001220703125,554.29998779296875,950,135502
5492,2,choice,5804,5831,869.20001220703125,553.20001220703125,737.20001220703125,496.29998779296875,27,5832,6084,733.20001220703125,495.6000061035156,707.70001220703125,485.5,252,135502
5492,2,choice,6085,6185,708.29998779296875,485.70001220703125,577.5999755859375,413.5,100,6186,6511,577.5999755859375,413.5,580.5,395.1000061035156,325,135502
6205,2,feedback,6512,6531,579.79998779296875,394.6000061035156,512.20001220703125,380.20001220703125,19,6532,6788,510.3999938964844,380,494.20001220703125,380.79998779296875,256,135502
6205,2,feedback,6789,6915,494.29998779296875,382,459.29998779296875,348.20001220703125,126,6916,8433,459.20001220703125,348.79998779296875,480.29998779296875,341.20001220703125,1517,135502
8193,2,regret,8434,8557,480.5,341.70001220703125,974.5,523.70001220703125,123,8558,9343,974.5999755859375,523.4000244140625,958.4000244140625,491.29998779296875,785,135502
9188,2,fixation,9344,9365,958.29998779296875,491.5,879.20001220703125,539.29998779296875,21,9366,9530,879.29998779296875,540.5999755859375,882.20001220703125,541.20001220703125,164,135502
9188,2,fixation,9531,9665,882.20001220703125,541.4000244140625,856.0999755859375,547.5999755859375,134,9666,9737,855.79998779296875,547.70001220703125,854.29998779296875,542.70001220703125,71,135502
9188,2,fixation,9738,9745,855,543.4000244140625,868.20001220703125,552.29998779296875,7,9746,10423,869.5,552.4000244140625,869.70001220703125,552.79998779296875,677,135502
10188,3,choice,10424,10469,869.70001220703125,552.5,1272.5,490.29998779296875,45,10470,10816,1272.5,489,1262.0999755859375,476.6000061035156,346,135502
10584,3,feedback,10817,10941,1261.5,477.29998779296875,1230.800048828125,388.8999938964844,124,10942,11346,1230.699951171875,388.8999938964844,1221.300048828125,377,404,135502
10584,3,feedback,11347,11363,1222.0999755859375,376.5,1217.800048828125,339.70001220703125,16,11364,12744,1216.800048828125,338.6000061035156,1212.5999755859375,329.20001220703125,1380,135502
12576,3,regret,12745,12879,1212.4000244140625,330,811.29998779296875,645.5,134,12880,13280,811.70001220703125,646,816.70001220703125,624.0999755859375,400,135502
12576,3,regret,13281,13302,816.79998779296875,623.9000244140625,884.79998779296875,584.0999755859375,21,13303,13763,885,582.70001220703125,883.29998779296875,557.9000244140625,460,135502
13570,3,fixation,13764,13771,881.4000244140625,557.79998779296875,867,557.79998779296875,7,13772,14797,865.70001220703125,557.20001220703125,861.79998779296875,536.9000244140625,1025,135502
14570,4,choice,14798,14820,861.9000244140625,536.70001220703125,878.79998779296875,453.3999938964844,22,14821,15406,878.20001220703125,451.1000061035156,873.79998779296875,415.8999938964844,585,135502
14894,4,feedback,15407,15422,873.9000244140625,417.29998779296875,871.4000244140625,463.5,15,15423,15682,872.0999755859375,464.70001220703125,872.20001220703125,466.79998779296875,259,135502
14894,4,feedback,15683,15704,872.79998779296875,465,869.29998779296875,390.1000061035156,21,15705,17102,868,388.29998779296875,861.5999755859375,347,1397,135502
16888,4,regret,17103,17233,861.70001220703125,347.70001220703125,849.9000244140625,437.3999938964844,130,17234,17430,849.79998779296875,437.70001220703125,851.9000244140625,429.29998779296875,196,135502
16888,4,regret,17431,17456,851.70001220703125,429.3999938964844,733.5999755859375,481.29998779296875,25,17457,18157,729.5,482.6000061035156,715.5,495.3999938964844,700,135502
17892,4,fixation,18158,18183,715.79998779296875,495.79998779296875,833.9000244140625,525.9000244140625,25,18184,18343,836.0999755859375,527.5999755859375,847.20001220703125,537.70001220703125,159,135502
17892,4,fixation,18344,18352,848.4000244140625,539.20001220703125,863.9000244140625,548.9000244140625,8,18353,19140,865,549.5,869.5999755859375,546.79998779296875,787,135502
18889,5,choice,19141,19165,869.5,546.9000244140625,878,435,24,19166,19471,877.79998779296875,432.29998779296875,872.0999755859375,398.5,305,135502
19211,5,feedback,19472,19593,872.4000244140625,400.1000061035156,854.20001220703125,378.8999938964844,121,19594,21339,854.4000244140625,378.6000061035156,859.0999755859375,363,1745,135502
21204,5,regret,21340,21492,859.0999755859375,363,798.79998779296875,505.29998779296875,152,21493,21879,798.5999755859375,506.20001220703125,835.20001220703125,494,386,135502
21204,5,regret,21880,22013,835.70001220703125,494.3999938964844,814.5,538.70001220703125,133,22014,22388,815.29998779296875,537.70001220703125,799,514.70001220703125,374,135502
22195,5,fixation,22389,22409,799,514.9000244140625,863.5999755859375,568.70001220703125,20,22410,23413,862.5999755859375,569.5,867,555.9000244140625,1003,135502
23188,6,choice,23414,23461,867.4000244140625,555.4000244140625,463.6000061035156,497.70001220703125,47,23462,24178,464.20001220703125,497.8999938964844,480.8999938964844,487,716,135502
23522,6,feedback,24179,24340,481.1000061035156,487.8999938964844,473.6000061035156,337,161,24341,24621,473.20001220703125,340.5,476.20001220703125,344.6000061035156,280,135502
23522,6,feedback,24622,24635,474.8999938964844,343.79998779296875,453.20001220703125,321.1000061035156,13,24636,24771,451.79998779296875,320.29998779296875,450.29998779296875,309.3999938964844,135,135502
23522,6,feedback,24772,24842,450.20001220703125,309.3999938964844,928.9000244140625,593.79998779296875,70,24843,25071,928.29998779296875,595.9000244140625,910.5,591.5999755859375,228,135502
23522,6,feedback,25072,25087,910.20001220703125,590,900.29998779296875,559.20001220703125,15,25088,25270,898.70001220703125,558.4000244140625,896,564.79998779296875,182,135502
23522,6,feedback,25271,25448,896.29998779296875,565.4000244140625,951.4000244140625,977.5999755859375,177,25449,25534,951.5999755859375,977.0999755859375,944.79998779296875,974.29998779296875,85,135502
25511,6,regret,25535,25590,944.5999755859375,974.29998779296875,987.29998779296875,1515.5999755859375,55,25591,25838,987.4000244140625,1512.5,984.29998779296875,1488.699951171875,247,135502
25511,6,regret,25839,25878,985,1488.699951171875,700.9000244140625,1548.4000244140625,39,25879,26340,701.4000244140625,1548.800048828125,702.79998779296875,1536.5999755859375,461,135502
25511,6,regret,26341,26450,702.4000244140625,1537.199951171875,933.9000244140625,514.5999755859375,109,26451,26668,933.5999755859375,514.4000244140625,924.4000244140625,505.29998779296875,217,135502
26505,6,fixation,26669,26690,924.29998779296875,505.79998779296875,832,547.29998779296875,21,26691,26885,833.9000244140625,547.5,848.0999755859375,551.0999755859375,194,135502
26505,6,fixation,26886,26894,849.79998779296875,551.20001220703125,869.20001220703125,555,8,26895,27675,870.5999755859375,555.0999755859375,868.0999755859375,547.0999755859375,780,135502
27494,7,choice,27676,27718,868,546.79998779296875,1275.699951171875,502,42,27719,28074,1276.9000244140625,500.8999938964844,1267.199951171875,474.6000061035156,355,135502
27818,7,feedback,28075,28096,1267.9000244140625,473.20001220703125,1289.300048828125,409.1000061035156,21,28097,29718,1288.9000244140625,406.3999938964844,1258.0999755859375,353.29998779296875,1621,135502
27818,7,feedback,29719,29732,1257.5,354.6000061035156,1243.300048828125,375.1000061035156,13,29733,29981,1243.0999755859375,377,1237.5,380.29998779296875,248,135502
29805,7,regret,29982,30204,1237.800048828125,380.1000061035156,947.20001220703125,500,222,30205,30502,946.9000244140625,499.8999938964844,934.20001220703125,486.5,297,135502
29805,7,regret,30503,30523,934.20001220703125,486.70001220703125,859,536.5999755859375,20,30524,30998,858.5999755859375,537.29998779296875,848,544.29998779296875,474,135502
30805,7,fixation,30999,31009,849.20001220703125,544.9000244140625,874.79998779296875,548,10,31010,31212,875.9000244140625,548.20001220703125,868.0999755859375,544.5999755859375,202,135502
30805,7,fixation,31213,31372,868,545.0999755859375,866.9000244140625,546,159,31373,32010,852.20001220703125,562.29998779296875,856.79998779296875,553.20001220703125,637,135502
31795,8,choice,32011,32035,857,552.9000244140625,871.79998779296875,463.3999938964844,24,32036,32332,872.0999755859375,460.79998779296875,868.79998779296875,429.1000061035156,296,135502
32054,8,feedback,32333,32458,868.9000244140625,429.79998779296875,835.79998779296875,408.6000061035156,125,32459,32918,836,408.5,826.9000244140625,394.1000061035156,459,135502
32054,8,feedback,32919,32942,827.5999755859375,395.20001220703125,855,466.3999938964844,23,32943,33118,855.4000244140625,469.8999938964844,856.70001220703125,482.79998779296875,175,135502
32054,8,feedback,33119,33295,856.79998779296875,483.6000061035156,1022.2000122070312,467.79998779296875,176,33296,34214,856.5999755859375,563.5,852,552.0999755859375,918,135502
34038,8,regret,34215,34384,852.0999755859375,552.79998779296875,832.20001220703125,516.70001220703125,169,34385,34528,832.29998779296875,516.5999755859375,840.9000244140625,510.29998779296875,143,135502
34038,8,regret,34529,34691,841,510.6000061035156,873.5999755859375,546.79998779296875,162,34692,35221,873.5999755859375,546.5,873.29998779296875,535.29998779296875,529,135502
35039,8,fixation,35222,35231,873,536.5,862.70001220703125,554.5,9,35232,36559,862.4000244140625,556.0999755859375,865.79998779296875,545.20001220703125,1327,135502
36297,9,feedback,36560,36605,865.9000244140625,544.9000244140625,516.20001220703125,389.70001220703125,45,36606,36731,515.9000244140625,389.20001220703125,517.0999755859375,394.79998779296875,125,135502
36297,9,feedback,36732,36845,517.20001220703125,394.79998779296875,433.8999938964844,440.79998779296875,113,36846,37097,433.5,440.8999938964844,434.79998779296875,422.20001220703125,251,135502
36297,9,feedback,37098,37118,435,421,462.20001220703125,362.29998779296875,20,37119,38466,463,360.29998779296875,474.29998779296875,337.29998779296875,1347,135502
38238,9,regret,38467,38640,475.6000061035156,337.5,1135.300048828125,578.29998779296875,173,38641,39331,811.0999755859375,560.79998779296875,842.79998779296875,566.0999755859375,690,135502
39239,9,fixation,39332,39345,843.4000244140625,567,856.70001220703125,595.9000244140625,13,39346,39500,856.5999755859375,597.20001220703125,850.79998779296875,593.5,154,135502
39239,9,fixation,39501,39513,851.70001220703125,593.20001220703125,869.4000244140625,562.9000244140625,12,39514,40479,870.29998779296875,560.79998779296875,865.70001220703125,554.9000244140625,965,135502
40230,10,choice,40480,40525,865.70001220703125,554.70001220703125,485.8999938964844,416,45,40526,40884,484.70001220703125,415.6000061035156,472.70001220703125,403.29998779296875,358,135502
40588,10,feedback,40885,40995,473.8999938964844,404.29998779296875,474.8999938964844,432.29998779296875,110,40996,41279,474.79998779296875,431.6000061035156,472,407.79998779296875,283,135502
40588,10,feedback,41280,41298,471.8999938964844,408.5,466.6000061035156,465.5,18,41299,41762,466,466.70001220703125,461.79998779296875,509.6000061035156,463,135502
40588,10,feedback,41763,41788,462.20001220703125,509.70001220703125,473.5,385.6000061035156,25,41789,42051,473.70001220703125,381.5,468.6000061035156,341.1000061035156,262,135502
40588,10,feedback,42052,42071,468.29998779296875,339.8999938964844,453.20001220703125,294.1000061035156,19,42072,42768,451.29998779296875,293.5,459.6000061035156,285.29998779296875,696,135502
42578,10,regret,42769,43117,460.1000061035156,285.6000061035156,847.0999755859375,536.20001220703125,348,43118,43351,846.79998779296875,535.9000244140625,851.5,521,233,135502
42578,10,regret,43352,43505,851.79998779296875,521.20001220703125,824.20001220703125,584,153,43506,43927,823.70001220703125,583.79998779296875,829.20001220703125,573.20001220703125,421,135502
42578,10,regret,43928,43948,829.29998779296875,573.29998779296875,898.5999755859375,557.9000244140625,20,43949,44316,896.70001220703125,556.79998779296875,887.20001220703125,552,367,135502
42578,10,regret,44317,44332,886.9000244140625,552.79998779296875,853.20001220703125,579.0999755859375,15,44333,44855,854.20001220703125,579.70001220703125,858.0999755859375,563.4000244140625,522,135502
42578,10,regret,44856,44977,857.79998779296875,564.79998779296875,875.29998779296875,526.5,121,44978,45243,875.4000244140625,526.0999755859375,882.70001220703125,513.29998779296875,265,135502
42578,10,regret,45244,45363,882,514.0999755859375,951.5999755859375,591.79998779296875,119,45364,45826,950.79998779296875,592.29998779296875,925,539.29998779296875,462,135502
42578,10,regret,45827,45851,925,539.29998779296875,858.5999755859375,460.20001220703125,24,45852,45937,855.9000244140625,457.5,850.79998779296875,443.20001220703125,85,135502
986,1,choice,1173,1282,876.70001220703125,563.79998779296875,858.5999755859375,541.0999755859375,109,1283,1430,858.29998779296875,541.0999755859375,857.70001220703125,531.20001220703125,147,903406
986,1,choice,1431,1449,858.20001220703125,530.0999755859375,880,476.8999938964844,18,1450,2053,879.5,475.1000061035156,869.5999755859375,460,603,903406
1529,1,feedback,2054,2170,869.5,460.8999938964844,864.20001220703125,426,116,2171,3755,864.29998779296875,426.1000061035156,853.29998779296875,416.1000061035156,1584,903406
3512,1,regret,3756,3878,853.20001220703125,416.70001220703125,855.4000244140625,546.70001220703125,122,3879,4615,854.70001220703125,545.29998779296875,852.20001220703125,528.4000244140625,736,903406
4503,1,fixation,4616,4632,852.0999755859375,527.20001220703125,847.70001220703125,474.29998779296875,16,4633,4829,846.70001220703125,472.6000061035156,846.70001220703125,462.3999938964844,196,903406
4503,1,fixation,4830,4852,847.4000244140625,463.3999938964844,860.79998779296875,544.4000244140625,22,4853,5803,860.9000244140625,547.5,869.20001220703125,554.29998779296875,950,903406
5492,2,choice,5804,5831,869.20001220703125,553.20001220703125,737.20001220703125,496.29998779296875,27,5832,6084,733.20001220703125,495.6000061035156,707.70001220703125,485.5,252,903406
5492,2,choice,6085,6185,708.29998779296875,485.70001220703125,577.5999755859375,413.5,100,6186,6511,577.5999755859375,413.5,580.5,395.1000061035156,325,903406
6205,2,feedback,6512,6531,579.79998779296875,394.6000061035156,512.20001220703125,380.20001220703125,19,6532,6788,510.3999938964844,380,494.20001220703125,380.79998779296875,256,903406
6205,2,feedback,6789,6915,494.29998779296875,382,459.29998779296875,348.20001220703125,126,6916,8433,459.20001220703125,348.79998779296875,480.29998779296875,341.20001220703125,1517,903406
8193,2,regret,8434,8557,480.5,341.70001220703125,974.5,523.70001220703125,123,8558,9343,974.5999755859375,523.4000244140625,958.4000244140625,491.29998779296875,785,903406
9188,2,fixation,9344,9365,958.29998779296875,491.5,879.20001220703125,539.29998779296875,21,9366,9530,879.29998779296875,540.5999755859375,882.20001220703125,541.20001220703125,164,903406
9188,2,fixation,9531,9665,882.20001220703125,541.4000244140625,856.0999755859375,547.5999755859375,134,9666,9737,855.79998779296875,547.70001220703125,854.29998779296875,542.70001220703125,71,903406
9188,2,fixation,9738,9745,855,543.4000244140625,868.20001220703125,552.29998779296875,7,9746,10423,869.5,552.4000244140625,869.70001220703125,552.79998779296875,677,903406
10188,3,choice,10424,10469,869.70001220703125,552.5,1272.5,490.29998779296875,45,10470,10816,1272.5,489,1262.0999755859375,476.6000061035156,346,903406
10584,3,feedback,10817,10941,1261.5,477.29998779296875,1230.800048828125,388.8999938964844,124,10942,11346,1230.699951171875,388.8999938964844,1221.300048828125,377,404,903406
10584,3,feedback,11347,11363,1222.0999755859375,376.5,1217.800048828125,339.70001220703125,16,11364,12744,1216.800048828125,338.6000061035156,1212.5999755859375,329.20001220703125,1380,903406
12576,3,regret,12745,12879,1212.4000244140625,330,811.29998779296875,645.5,134,12880,13280,811.70001220703125,646,816.70001220703125,624.0999755859375,400,903406
12576,3,regret,13281,13302,816.79998779296875,623.9000244140625,884.79998779296875,584.0999755859375,21,13303,13763,885,582.70001220703125,883.29998779296875,557.9000244140625,460,903406
13570,3,fixation,13764,13771,881.4000244140625,557.79998779296875,867,557.79998779296875,7,13772,14797,865.70001220703125,557.20001220703125,861.79998779296875,536.9000244140625,1025,903406
14570,4,choice,14798,14820,861.9000244140625,536.70001220703125,878.79998779296875,453.3999938964844,22,14821,15406,878.20001220703125,451.1000061035156,873.79998779296875,415.8999938964844,585,903406
14894,4,feedback,15407,15422,873.9000244140625,417.29998779296875,871.4000244140625,463.5,15,15423,15682,872.0999755859375,464.70001220703125,872.20001220703125,466.79998779296875,259,903406
14894,4,feedback,15683,15704,872.79998779296875,465,869.29998779296875,390.1000061035156,21,15705,17102,868,388.29998779296875,861.5999755859375,347,1397,903406
16888,4,regret,17103,17233,861.70001220703125,347.70001220703125,849.9000244140625,437.3999938964844,130,17234,17430,849.79998779296875,437.70001220703125,851.9000244140625,429.29998779296875,196,903406
16888,4,regret,17431,17456,851.70001220703125,429.3999938964844,733.5999755859375,481.29998779296875,25,17457,18157,729.5,482.6000061035156,715.5,495.3999938964844,700,903406
17892,4,fixation,18158,18183,715.79998779296875,495.79998779296875,833.9000244140625,525.9000244140625,25,18184,18343,836.0999755859375,527.5999755859375,847.20001220703125,537.70001220703125,159,903406
17892,4,fixation,18344,18352,848.4000244140625,539.20001220703125,863.9000244140625,548.9000244140625,8,18353,19140,865,549.5,869.5999755859375,546.79998779296875,787,903406
18889,5,choice,19141,19165,869.5,546.9000244140625,878,435,24,19166,19471,877.79998779296875,432.29998779296875,872.0999755859375,398.5,305,903406
19211,5,feedback,19472,19593,872.4000244140625,400.1000061035156,854.20001220703125,378.8999938964844,121,19594,21339,854.4000244140625,378.6000061035156,859.0999755859375,363,1745,903406
21204,5,regret,21340,21492,859.0999755859375,363,798.79998779296875,505.29998779296875,152,21493,21879,798.5999755859375,506.20001220703125,835.20001220703125,494,386,903406
21204,5,regret,21880,22013,835.70001220703125,494.3999938964844,814.5,538.70001220703125,133,22014,22388,815.29998779296875,537.70001220703125,799,514.70001220703125,374,903406
22195,5,fixation,22389,22409,799,514.9000244140625,863.5999755859375,568.70001220703125,20,22410,23413,862.5999755859375,569.5,867,555.9000244140625,1003,903406
23188,6,choice,23414,23461,867.4000244140625,555.4000244140625,463.6000061035156,497.70001220703125,47,23462,24178,464.20001220703125,497.8999938964844,480.8999938964844,487,716,903406
23522,6,feedback,24179,24340,481.1000061035156,487.8999938964844,473.6000061035156,337,161,24341,24621,473.20001220703125,340.5,476.20001220703125,344.6000061035156,280,903406
23522,6,feedback,24622,24635,474.8999938964844,343.79998779296875,453.20001220703125,321.1000061035156,13,24636,24771,451.79998779296875,320.29998779296875,450.29998779296875,309.3999938964844,135,903406
23522,6,feedback,24772,24842,450.20001220703125,309.3999938964844,928.9000244140625,593.79998779296875,70,24843,25071,928.29998779296875,595.9000244140625,910.5,591.5999755859375,228,903406
23522,6,feedback,25072,25087,910.20001220703125,590,900.29998779296875,559.20001220703125,15,25088,25270,898.70001220703125,558.4000244140625,896,564.79998779296875,182,903406
23522,6,feedback,25271,25448,896.29998779296875,565.4000244140625,951.4000244140625,977.5999755859375,177,25449,25534,951.5999755859375,977.0999755859375,944.79998779296875,974.29998779296875,85,903406
25511,6,regret,25535,25590,944.5999755859375,974.29998779296875,987.29998779296875,1515.5999755859375,55,25591,25838,987.4000244140625,1512.5,984.29998779296875,1488.699951171875,247,903406
25511,6,regret,25839,25878,985,1488.699951171875,700.9000244140625,1548.4000244140625,39,25879,26340,701.4000244140625,1548.800048828125,702.79998779296875,1536.5999755859375,461,903406
25511,6,regret,26341,26450,702.4000244140625,1537.199951171875,933.9000244140625,514.5999755859375,109,26451,26668,933.5999755859375,514.4000244140625,924.4000244140625,505.29998779296875,217,903406
26505,6,fixation,26669,26690,924.29998779296875,505.79998779296875,832,547.29998779296875,21,26691,26885,833.9000244140625,547.5,848.0999755859375,551.0999755859375,194,903406
26505,6,fixation,26886,26894,849.79998779296875,551.20001220703125,869.20001220703125,555,8,26895,27675,870.5999755859375,555.0999755859375,868.0999755859375,547.0999755859375,780,903406
27494,7,choice,27676,27718,868,546.79998779296875,1275.699951171875,502,42,27719,28074,1276.9000244140625,500.8999938964844,1267.199951171875,474.6000061035156,355,903406
27818,7,feedback,28075,28096,1267.9000244140625,473.20001220703125,1289.300048828125,409.1000061035156,21,28097,29718,1288.9000244140625,406.3999938964844,1258.0999755859375,353.29998779296875,1621,903406
27818,7,feedback,29719,29732,1257.5,354.6000061035156,1243.300048828125,375.1000061035156,13,29733,29981,1243.0999755859375,377,1237.5,380.29998779296875,248,903406
29805,7,regret,29982,30204,1237.800048828125,380.1000061035156,947.20001220703125,500,222,30205,30502,946.9000244140625,499.8999938964844,934.20001220703125,486.5,297,903406
29805,7,regret,30503,30523,934.20001220703125,486.70001220703125,859,536.5999755859375,20,30524,30998,858.5999755859375,537.29998779296875,848,544.29998779296875,474,903406
30805,7,fixation,30999,31009,849.20001220703125,544.9000244140625,874.79998779296875,548,10,31010,31212,875.9000244140625,548.20001220703125,868.0999755859375,544.5999755859375,202,903406
30805,7,fixation,31213,31372,868,545.0999755859375,866.9000244140625,546,159,31373,32010,852.20001220703125,562.29998779296875,856.79998779296875,553.20001220703125,637,903406
31795,8,choice,32011,32035,857,552.9000244140625,871.79998779296875,463.3999938964844,24,32036,32332,872.0999755859375,460.79998779296875,868.79998779296875,429.1000061035156,296,903406
32054,8,feedback,32333,32458,868.9000244140625,429.79998779296875,835.79998779296875,408.6000061035156,125,32459,32918,836,408.5,826.9000244140625,394.1000061035156,459,903406
32054,8,feedback,32919,32942,827.5999755859375,395.20001220703125,855,466.3999938964844,23,32943,33118,855.4000244140625,469.8999938964844,856.70001220703125,482.79998779296875,175,903406
32054,8,feedback,33119,33295,856.79998779296875,483.6000061035156,1022.2000122070312,467.79998779296875,176,33296,34214,856.5999755859375,563.5,852,552.0999755859375,918,903406
34038,8,regret,34215,34384,852.0999755859375,552.79998779296875,832.20001220703125,516.70001220703125,169,34385,34528,832.29998779296875,516.5999755859375,840.9000244140625,510.29998779296875,143,903406
34038,8,regret,34529,34691,841,510.6000061035156,873.5999755859375,546.79998779296875,162,34692,35221,873.5999755859375,546.5,873.29998779296875,535.29998779296875,529,903406
35039,8,fixation,35222,35231,873,536.5,862.70001220703125,554.5,9,35232,36559,862.4000244140625,556.0999755859375,865.79998779296875,545.20001220703125,1327,903406
36297,9,feedback,36560,36605,865.9000244140625,544.9000244140625,516.20001220703125,389.70001220703125,45,36606,36731,515.9000244140625,389.20001220703125,517.0999755859375,394.79998779296875,125,903406
36297,9,feedback,36732,36845,517.20001220703125,394.79998779296875,433.8999938964844,440.79998779296875,113,36846,37097,433.5,440.8999938964844,434.79998779296875,422.20001220703125,251,903406
36297,9,feedback,37098,37118,435,421,462.20001220703125,362.29998779296875,20,37119,38466,463,360.29998779296875,474.29998779296875,337.29998779296875,1347,903406
38238,9,regret,38467,38640,475.6000061035156,337.5,1135.300048828125,578.29998779296875,173,38641,39331,811.0999755859375,560.79998779296875,842.79998779296875,566.0999755859375,690,903406
39239,9,fixation,39332,39345,843.4000244140625,567,856.70001220703125,595.9000244140625,13,39346,39500,856.5999755859375,597.20001220703125,850.79998779296875,593.5,154,903406
39239,9,fixation,39501,39513,851.70001220703125,593.20001220703125,869.4000244140625,562.9000244140625,12,39514,40479,870.29998779296875,560.79998779296875,865.70001220703125,554.9000244140625,965,903406
40230,10,choice,40480,40525,865.70001220703125,554.70001220703125,485.8999938964844,416,45,40526,40884,484.70001220703125,415.6000061035156,472.70001220703125,403.29998779296875,358,903406
40588,10,feedback,40885,40995,473.8999938964844,404.29998779296875,474.8999938964844,432.29998779296875,110,40996,41279,474.79998779296875,431.6000061035156,472,407.79998779296875,283,903406
40588,10,feedback,41280,41298,471.8999938964844,408.5,466.6000061035156,465.5,18,41299,41762,466,466.70001220703125,461.79998779296875,509.6000061035156,463,903406
40588,10,feedback,41763,41788,462.20001220703125,509.70001220703125,473.5,385.6000061035156,25,41789,42051,473.70001220703125,381.5,468.6000061035156,341.1000061035156,262,903406
40588,10,feedback,42052,42071,468.29998779296875,339.8999938964844,453.20001220703125,294.1000061035156,19,42072,42768,451.29998779296875,293.5,459.6000061035156,285.29998779296875,696,903406
42578,10,regret,42769,43117,460.1000061035156,285.6000061035156,847.0999755859375,536.20001220703125,348,43118,43351,846.79998779296875,535.9000244140625,851.5,521,233,903406
42578,10,regret,43352,43505,851.79998779296875,521.20001220703125,824.20001220703125,584,153,43506,43927,823.70001220703125,583.79998779296875,829.20001220703125,573.20001220703125,421,903406
42578,10,regret,43928,43948,829.29998779296875,573.29998779296875,898.5999755859375,557.9000244140625,20,43949,44316,896.70001220703125,556.79998779296875,887.20001220703125,552,367,903406
42578,10,regret,44317,44332,886.9000244140625,552.79998779296875,853.20001220703125,579.0999755859375,15,44333,44855,854.20001220703125,579.70001220703125,858.0999755859375,563.4000244140625,522,903406
42578,10,regret,44856,44977,857.79998779296875,564.79998779296875,875.29998779296875,526.5,121,44978,45243,875.4000244140625,526.0999755859375,882.70001220703125,513.29998779296875,265,903406
42578,10,regret,45244,45363,882,514.0999755859375,951.5999755859375,591.79998779296875,119,45364,45826,950.79998779296875,592.29998779296875,925,539.29998779296875,462,903406
42578,10,regret,45827,45851,925,539.29998779296875,858.5999755859375,460.20001220703125,24,45852,45937,855.9000244140625,457.5,850.79998779296875,443.20001220703125,85,903406
